family,num_languages,total_words,languages
Indo-European,160,2107429320139,"['Afrikaans', 'Ancient Greek (to 1453)', 'Angika', 'Aragonese', 'Armenian', 'Arpitan', 'Assamese', 'Asturian', 'Awadhi', 'Balkan Romani', 'Baltic Romani', 'Bavarian', 'Belarusian', 'Bengali', 'Bhojpuri', 'Bishnupriya', 'Bosnian', 'Breton', 'Bulgarian', 'Caribbean Hindustani', 'Carpathian Romani', 'Catalan', 'Central Kurdish', 'Chakma', 'Chhattisgarhi', 'Church Slavic', 'Cornish', 'Corsican', 'Croatian', 'Czech', 'Dangaura Tharu', 'Danish', 'Dhivehi', 'Dimli (individual language)', 'Dogri (macrolanguage)', 'Dotyali', 'Dutch', 'Eastern Yiddish', 'Emilian-Romagnol', 'Extremaduran', 'Faroese', 'Fiji Hindi', 'French', 'Friulian', 'Galician', 'German', 'Gheg Albanian', 'Gilaki', 'Goan Konkani', 'Gothic', 'Gronings', 'Gujarati', 'Gurani', 'Hindi', 'Hunsrik', 'Icelandic', 'Irish', 'Italian', 'Jèrriais', 'Kashmiri', 'Kashubian', 'Kirmanjki (individual language)', 'Kölsch', 'Ladin', 'Ladino', 'Laki', 'Latgalian', 'Latin', 'Ligurian', 'Limburgan', 'Lithuanian', 'Lombard', 'Low German', 'Lower Sorbian', 'Luxembourgish', 'Macedo-Romanian', 'Macedonian', 'Magahi', 'Maithili', 'Malvi', 'Manx', 'Marathi', 'Mazanderani', 'Middle English (1100-1500)', 'Middle High German (ca. 1050-1500)', 'Mirandese', 'Modern Greek (1453-)', 'Neapolitan', 'Nepali (individual language)', 'Northern Frisian', 'Northern Kurdish', 'Northern Luri', 'Norwegian Bokmål', 'Norwegian Nynorsk', 'Occitan (post 1500)', 'Odia', 'Old English (ca. 450-1100)', 'Old French (842-ca. 1400)', 'Old High German (ca. 750-1050)', 'Old Norse', 'Old Russian', 'Ossetian', 'Panjabi', 'Pennsylvania German', 'Persian', 'Pfaelzisch', 'Picard', 'Piemontese', 'Plautdietsch', 'Polish', 'Pontic', 'Portuguese', 'Prussian', 'Rajbanshi', 'Rohingya', 'Romanian', 'Romansh', 'Russian', 'Rusyn', 'Sadri', 'Samogitian', 'Sanskrit', 'Saraiki', 'Sardinian', 'Sassarese Sardinian', 'Saterfriesisch', 'Scots', 'Scottish Gaelic', 'Serbian', 'Shughni', 'Sicilian', 'Silesian', 'Sindhi', 'Sinhala', 'Sinte Romani', 'Slovak', 'Slovenian', 'Southern Kurdish', 'Southern Pashto', 'Spanish', 'Standard Latvian', 'Swabian', 'Swedish', 'Swiss German', 'Sylheti', 'Tajik', 'Talysh', 'Tosk Albanian', 'Ukrainian', 'Upper Sorbian', 'Urdu', 'Venetian', 'Vlaams', 'Vlax Romani', 'Walloon', 'Welsh', 'Western Armenian', 'Western Frisian', 'Western Panjabi', 'Zeeuws']"
Sino-Tibetan,104,544850189208,"['Achang', 'Adi', 'Aimol', 'Akeu', 'Akha', 'Amri Karbi', 'Anal', 'Angami Naga', 'Ao Naga', 'Apatani', 'Bawm Chin', 'Biete', 'Bisu', 'Bodo (India)', 'Burmese', 'Chang Naga', 'Chokri Naga', 'Chothe Naga', 'Darlong', 'Dimasa', 'Dungan', 'Dzongkha', 'Eastern Khumi Chin', 'Eastern Tamang', 'Falam Chin', 'Galo', 'Gangte', 'Garo', 'Hakha Chin', 'Hakka Chinese', 'Hmar', 'Hrangkhol', 'Inpui Naga', 'Kachin', 'Karbi', 'Khiamniungan Naga', 'Khumi Chin', 'Kok Borok', 'Kom (India)', 'Konyak Naga', 'Kulung (Nepal)', 'Ladakhi', 'Lahu', 'Lahu Shi', 'Lamkang', 'Lashi', 'Liangmai Naga', 'Limbu', 'Lisu', 'Literary Chinese', 'Lushai', 'Mandarin Chinese', 'Manipuri', 'Maram Naga', 'Maring Naga', 'Maru', 'Middle Newar', 'Min Nan Chinese', 'Mising', 'Monsang Naga', 'Moyon Naga', 'Mro-Khimi Chin', 'Mün Chin', 'Newari', 'Ngawn Chin', 'Nocte Naga', 'Northern Rengma Naga', 'Nyishi', ""Pa'o Karen"", 'Paite Chin', 'Phom Naga', 'Pochuri Naga', 'Poumei Naga', 'Pwo Northern Karen', 'Ranglong', 'Rawang', 'Riang (India)', 'Rongmei Naga', ""S'gaw Karen"", 'Sampang', 'Sangtam Naga', 'Sherpa', 'Simte', 'Siyin Chin', 'Southern Rengma Naga', 'Sumi Naga', 'Sunwar', 'Tangkhul Naga (India)', 'Tarao Naga', 'Tase Naga', 'Tedim Chin', 'Thado Chin', 'Tibetan', 'Vaiphei', 'Wancho Naga', 'Western Kayah', 'Wu Chinese', 'Yimchungru Naga', 'Yue Chinese', 'Zaiwa', 'Zeme Naga', 'Zotung Chin', 'Zou', 'Zyphe Chin']"
Japonic,1,331144301801,['Japanese']
Austronesian,300,68826253346,"['Achinese', 'Adzera', 'Agutaynen', 'Ajië', 'Alangan', 'Alune', 'Amarasi', 'Ambai', 'Amganad Ifugao', 'Amis', 'Antankarana Malagasy', 'Anuki', 'Aralle-Tabulahan', 'Are', 'Arifama-Miniafia', 'Arop-Lokep', 'Arosi', 'Ata Manobo', 'Atayal', 'Auhelawa', 'Bada (Indonesia)', 'Baeggu', 'Baelelea', 'Balangao', 'Balantak', 'Balinese', 'Bambam', 'Banggai', 'Banjar', 'Bantoanon', 'Bariai', 'Batad Ifugao', 'Batak Angkola', 'Batak Dairi', 'Batak Karo', 'Batak Simalungun', 'Batak Toba', 'Biak', 'Biatah Bidayuh', 'Bima', 'Binukid', 'Bola', 'Bolinao', 'Botolan Sambal', ""Brooke's Point Palawano"", 'Bugawac', 'Bughotu', 'Buginese', 'Buhid', 'Buhutu', 'Bukar-Sadung Bidayuh', 'Bunama', 'Bwaidoka', 'Bwanabwana', 'Calamian Tagbanwa', 'Caluyanun', 'Caribbean Javanese', 'Casiguran Dumagat Agta', 'Cebuano', 'Central Bikol', 'Central Bontok', 'Central Cagayan Agta', 'Central Malay', 'Central Sama', 'Central Subanen', 'Chamorro', 'Chuukese', 'Coastal Kadazan', 'Cotabato Manobo', ""Da'a Kaili"", 'Dawawa', 'Dehu', 'Dela-Oenale', 'Dhao', 'Dibabawon Manobo', 'Dobu', 'Dupaninan Agta', 'Duri', 'East Ambae', 'East Futuna', 'Eastern Bontok', 'Fanamaket', 'Fataleka', 'Fijian', 'Filipino', 'Fordata', ""Ga'dang"", 'Gapapaiwa', 'Gela', 'Ghayavi', 'Gilbertese', 'Gorontalo', 'Halia', 'Hanunoo', 'Hawaiian', 'Helong', 'Hiligaynon', 'Hote', 'Iamalele', 'Iban', 'Ibanag', 'Ibatan', 'Iduna', 'Ilianen Manobo', 'Iloko', 'Inabaknon', 'Indonesian', 'Iraya', 'Isnag', 'Itawit', 'Ivatan', 'Iwal', 'Jarai', 'Javanese', 'Kadazan Dusun', 'Kagayanen', 'Kahua', 'Kakabai', 'Kalagan', 'Kalanguya', 'Kambera', 'Kandas', 'Kaninuwa', 'Kankanaey', 'Kapingamarangi', 'Kara (Papua New Guinea)', 'Kaulong', 'Keapara', 'Kei', 'Keley-I Kallahan', 'Kendayan', 'Kilivila', 'Kinaray-A', 'Kisar', 'Koronadal Blaan', 'Kosraean', 'Kuanua', 'Kurti', 'Kwaio', 'Kwamera', ""Kwara'ae"", 'Label', 'Labuk-Kinabatangan Kadazan', 'Lampung Api', 'Ledo Kaili', 'Lewo', 'Limos Kalinga', 'Lole', 'Lote', 'Luang', 'Lundayeh', ""Ma'anyan"", 'Madak', 'Madurese', 'Mag-antsi Ayta', 'Maiadomu', 'Makasar', 'Mamanwa', 'Mamasa', 'Manam', 'Mangareva', 'Mangga Buang', 'Manggarai', 'Mangseng', 'Mansaka', 'Maori', 'Mapos Buang', 'Maranao', 'Marik', 'Marshallese', 'Masbatenyo', 'Maskelynes', 'Matigsalug Manobo', 'Mato', 'Mayoyao Ifugao', 'Mbula', 'Mekeo', 'Mengen', 'Mentawai', 'Minangkabau', 'Minaveha', 'Misima-Panaeati', 'Molima', 'Mongondow', 'Motu', 'Muna', 'Musi', 'Mussau-Emira', 'Mutu', 'Muyuw', 'Nakanai', 'Nali', 'Napu', 'Narom', 'Natügu', 'Nehan', 'Ngaju', 'Nias', 'Nimoa', 'Niuean', 'North Marquesan', 'North Tanna', 'Northern Kankanay', 'Nyindrou', 'Obo Manobo', 'Ot Danum', 'Owa', 'Paama', 'Paicî', 'Paiwan', 'Palauan', 'Pamona', 'Pampanga', 'Pamplona Atta', 'Pangasinan', 'Paranan', 'Patep', 'Patpatar', 'Plateau Malagasy', 'Pohnpeian', 'Rade', 'Ramoaaina', 'Rapanui', 'Rarotongan', 'Rejang', 'Ringgou', 'Rotuman', 'Roviana', 'Rukai', 'Rungus', ""Sa'a"", 'Sabu', 'Sakalava Malagasy', 'Sakizaya', 'Saliba', 'Saluan', 'Sambal', 'Samoan', 'Sangir', 'Saposa', 'Sarangani Blaan', 'Sarangani Manobo', 'Sasak', 'Sediq', 'Seimat', 'Semandang', 'Sinaugoro', 'Sio', 'Southeast Ambrym', 'Southern Kalinga', 'Southwest Tanna', 'Standard Malay', 'Suau', 'Sudest', 'Sundanese', 'Sursurunga', 'Tagabawa', 'Tagbanwa', 'Tahitian', 'Takia', 'Takuu', 'Tangoa', 'Taupota', 'Tausug', 'Tawala', 'Tboli', 'Termanu', 'Tetum', 'Tii', 'Timugon Murut', 'Tinputz', 'Tiruray', ""To'abaita"", 'Tokelau', 'Tonga (Tonga Islands)', ""Toraja-Sa'dan"", 'Tungag', 'Tuvalu', 'Tuwali Ifugao', 'Uab Meto', 'Ubir', 'Uma', 'Umiray Dumaget Agta', ""Urak Lawoi'"", 'Uripiv-Wala-Rano-Atchin', 'Wahau Kenyah', 'Waima', 'Wala', 'Wallisian', 'Waray (Philippines)', 'Wedau', 'Wejewa', 'Western Bukidnon Manobo', 'Western Penan', 'Western Subanon', 'Whitesands', 'Wuvulu-Aua', 'Yabem', 'Yakan', 'Yapese']"
Uralic,29,57919048939,"['Eastern Mari', 'Erzya', 'Finnish', 'Hungarian', 'Inari Sami', 'Karelian', 'Khanty', 'Komi-Permyak', 'Komi-Zyrian', 'Kven Finnish', 'Liv', 'Livvi', 'Ludian', 'Lule Sami', 'Mansi', 'Moksha', 'Nenets', 'Nganasan', 'Northern Sami', 'Skolt Sami', 'Southern Sami', 'Standard Estonian', 'Tornedalen Finnish', 'Udmurt', 'Ume Sami', 'Veps', 'Votic', 'Võro', 'Western Mari']"
Austro-Asiatic,14,51572459837,"['Bahnar', 'Car Nicobarese', 'Central Mnong', 'Eastern Bru', 'Juang', 'Khasi', 'Khmer', 'Mon', 'Northern Katang', 'Northern Khmer', 'Santali', 'Vietnamese', 'Wa', 'Western Lawa']"
Turkic,25,49967693131,"['Bashkir', 'Chuvash', 'Crimean Tatar', 'Gagauz', 'Kara-Kalpak', 'Karachay-Balkar', 'Karaim', 'Kazakh', 'Khakas', 'Kirghiz', 'Kumyk', 'Nogai', 'North Azerbaijani', 'Northern Uzbek', 'Ottoman Turkish (1500-1928)', 'Shor', 'South Azerbaijani', 'Southern Altai', 'Southern Uzbek', 'Tatar', 'Turkish', 'Turkmen', 'Tuvinian', 'Uighur', 'Yakut']"
Koreanic,1,48613120582,['Korean']
Afro-Asiatic,70,44047678884,"['Algerian Arabic', 'Amharic', 'Ancient Hebrew', 'Assyrian Neo-Aramaic', 'Bana', 'Central Atlas Tamazight', 'Chadian Arabic', 'Classical Syriac', 'Coptic', 'Dangaléat', 'Dawro', 'Eastern Oromo', 'Egyptian Arabic', 'Gamo', 'Gidar', 'Gofa', 'Gude', 'Hamer-Banna', 'Hausa', 'Hdi', 'Hebrew', 'Iraqw', 'Kabyle', 'Kafa', 'Kambaata', 'Kamwe', 'Kera', 'Kimré', 'Konso', 'Koorete', 'Lele (Chad)', 'Levantine Arabic', 'Mafa', 'Male (Ethiopia)', 'Maltese', 'Marba', 'Masana', 'Matal', 'Mbuko', 'Merey', 'Mesopotamian Arabic', 'Mofu-Gudur', 'Moroccan Arabic', 'Musey', 'Musgu', 'Muyang', 'Mwaghavul', 'Najdi Arabic', 'North Mesopotamian Arabic', 'North Mofu', 'Parkwa', 'Psikye', 'Rendille', 'Sebat Bet Gurage', 'Sidamo', 'Somali', 'South Giziga', 'Standard Arabic', 'Standard Moroccan Tamazight', 'Tachelhit', 'Tamasheq', 'Tawallammat Tamajaq', 'Tigre', 'Tigrinya', 'Tumak', 'Tunisian Arabic', 'Wandala', 'West Central Oromo', 'Wolaytta', 'Zulgo-Gemzek']"
Kra-Dai,5,24857085096,"['Lao', 'Northern Thai', 'Shan', 'Thai', 'Yongbei Zhuang']"
